Review,Class
"Después de la pandemia, la preparación de los alimentos y la atención decayó. El pan está muy malo y ahora lo ofrecen con queso amarillo l. Las ensaladas son raquíticas y nada especiales, como lo eran antes. Parece que cambiaron el chef. Que pena!",3
"Esta fortaleza del siglo 18, el tercero más grande en las Américas, está situado junto a la entrada a la bahía de La Habana. Es un lugar muy pintoresco para disfrutar de las vistas de la Habana Vieja, situado debajo, en la orilla opuesta. Este es un magnífico, lleno de historia y un gran lugar para explorar durante una hora o dos. Es mucho menos concurrida que el castillo más pequeño que morro mucho la punta de tierra guardias en la entrada de la Bahía de La Habana.",4
"Se equivocaron en la central de reservas y al llegar al hotel me cobraron más para poder alojarme  Una habitación con 3 recamaras y me pusieron solo un huésped 🤦🏽‍♂️  No tienen sentido común, acabe pagando por las otras 5.   O sea me engañaron 😡",1
"Que difícil me esta resultando dar una opinión de este lugar, por un lado mi hijo se divirtió y eso hace que valga la pena pero tiene demasiadas áreas de oportunidad que como niño no ves. En principio, el acceso es caro para un adulto pues no haces nada y te cobran como un niño que si tiene derecho a las actividades. Y desde el acceso comienza el mal servicio, desafortunadamente tener a solo jovencitos que no les importa si hacen bien o mal su trabajo, hace que desde que estas pagando te estés arrepintiendo de ir, además de ser muy muy lentos, no te explican nada. Los guardias tienen una actitud de lo más prepotente, al hacerles una pregunta sencilla te contestan con caras y con la peor actitud. Como al pagar el acceso no te explican nada, tardas como 30 minutos en entender la dinámica. Los jovencitos en cada actividad se ven fastidiados, se ve que no quieren estar ahi, no explican y aparte se enojan. Me bajaron del ""avión"" que porque estaba en actividad, cuando el acceso estaba abierto y abajo no había nadie que controlara. Otro me prohibía tomar foto de mi hijo en la actividad, aun cuando no había ningún letrero. En fin en servicio al cliente les falta muchisimo, pero al final los niños se divierten, pasan una tarde muy agradable jugando a ser ""grandes"", puedo decir que vale la pena pero vayan preparados para hacer algunos corajes.",3
"Ubicado en la plaza del Chorro de Quevedo este restaurante ofrece una música en vivo bastante buena aunque con un volumen exagerado al interior del local. La comida es una tremenda decepción: la espera es interminable, la comida mediocre y los precios bastante caros en...Más",2
"Reservamos este hotel por recomendación de Cuba directamente. explícitamente dijimos que queríamos un hotel mejor porque era nuestro aniversario de boda y queríamos que fuera especial (y las críticas no eran geniales).  Cuba Direct nos convenció que habían sido renovadas recientemente y que se lo solicite una de las habitaciones nuevas, así que inocentemente respondes que Seguimos su consejo ya que la ubicación es muy buena. Llegamos tarde en la noche para una estancia de 2 noches sólo para encontrar que habíamos estado designado dos camas individuales. Cuando pedimos que nos cambiaran nos echaron nos dijeron que estaba lleno (similar a otros comentarios aquí), no había servicio de habitación y el restaurante y bar había cerrado, así que no teníamos cena para nosotros! El buffet…",2
"Fuimos por recomendacion de un amigo, llegamos a las 6 pm para cenar. Decia el Google abierto. Llegamos y resulta que abrian a las 630 pm. Nomas no quisieron recibirnos. El gerente, dueño o capitan fue tajante. NO.

Veniamos con mucha hambre, era comida para...Más",1
"historia, cultura, buena arquitectura, tradición, emblematico",3
"comimos muy bien, buen precio y abundante!nos dejamos recomendar por el camarero y un acierto!!Repetiriamos",4
"el hotel es precioso,tiene unas habitaciones muy grandes y preciosas,el bar del hotel es excelente,donde se desayuna muy bueno,tiene una discoteca con coches antiguos de muestra,esta enfrente del MALECON,TIENE UNA VISTA MUY LINDA AL MAR.LA PILETA MUY LINDA.NO SE VAN ARREPENTIR .",5
"Fui al restaurante pero entré a comer, no sólo a beber,  el Mojito no estaba bueno además de caro y pequeño, la comida estaba buena,  de eso no hay duda, pero nada excelente,  solo estar en un lugar turístico,  ya que es muy particular y...Más",3
"Esperamos en línea por horas porque este fue recomendado por tanto nuestro dueño de casa y nuestro conductor de taxi. Las líneas son desorganizado y muy largo. Están en ninguna prisa para mover a lo largo. Esperamos 2. 5 horas afuera en un día caliente,...caliente. Muy desorganizado. La comida llegó lenta, las porciones son grandes y cuentan con ambos lados, sin embargo, los precios eran bastante caros, y el sabor era muy normal. Fue una decepción enorme.Más",2
"Es un buen lugar para conocer. Cuando fuimos en abril del 2013 lo estaban arreglando por lo que no pudimos ingresar. Solo pudimos verlo desde afuera. Está en la zona de la Habana vieja por lo que si se está por la zona podés pasar y tomar algunas fotos. Ahí mismo hay, como en varias partes de La Habana, autos antiguos arreglados en los que sus dueños te ofrecen sacarte fotos. No recuerdo el valor, pero es algo lindo de hacer si querés tener un recuerdo con un auto típico del país.",4
"Buena atención, eficiente y rápida, el personal es amable y respetuoso, la vista del lugar es de las mejores y la comida es buena.",5
Sneider fue muy amable y la comida espectacular. Excelente sitio para vivir al máximo y vivir sin arrepentimientos.,5
"Situado en el corazón de la Habana Veija (la Habana Vieja), este popular lugar para comer y beber se hizo famoso gracias a Ernest Hemingway (el escritor).  La comida aquí es mediocre. esperar para obtener una mesa durante períodos ocupados - puede disfrutar de un...mojito y escuchar la banda en el bar mientras espera. Te sugiero que visitar los principales sitios de la vieja Habana y parada aquí para tomar una bebida y el almuerzoMás",3
"Comida excelente y una comodidad perfecta. Sin duda volveremos. El servicio un poco lento al principio, pero luego fue establecido y nos hizo una muy buena experiencia en Nuevo Vallarta.",4
"Todo bien sin lucirse, discreta atención , comida ok, dulces ok..nada mas..para algo rápido, y algún traguito",3
"Fuimos con nuestra hija y yerno, con sus 18 meses de edad. Si hubiéramos estado allí solos nos hubiéramos ido a otro hotel probablemente. Fuimos sabiendo que era un complejo multipropiedad, ya que nuestros hijos estaban usando el tiempo las leyes de sus padres compartir. Nuestros niños nunca han tenido problemas como este en cualquiera de los otros resorts en. Mi marido y yo normalmente no todos incluido (si no es como un complejo de ensueño/estaciones de mayor clase), que normalmente alquilamos nada de lujos, un apartamento o casa a través vrbo, así que pensamos que este sería un poco entre y una cosa buena. primero nuestro transporte no estaba disponible, por lo que tardamos más de una hora para que la pensé y eso fue causa finalmente conseguimos loco y dijo que estábamos tomando un taxi. La próxima no importa donde hemos viajado a, hay siempre una bebida en nuestras manos tan pronto como nos llega, nada hasta después de que nos registramos, y fue con el tiempo compartido en mujeres con - y en ese momento mi marido había encontrado el bar Y ordenados.. y llegó en un vaso de plástico! Nunca he visto tantos vasos de plástico en un complejo de alta categoría! Qué desperdicio y barato sensación. Entiendo que en la piscina.. pero hay un bar en el complejo...

Compartir tiempo!! Eso fue todo el problema con este complejo!! Ni siquiera nos dejaron ir a nuestra habitación de instalarse, ya que teníamos que escuchar ellos hablando sobre el hotel y las instalaciones y lo que nos dan para un ser miembro - para asistir a las reuniones de tiempo compartido. Nos dieron una tarjeta de descuento que sólo conseguimos si fuimos a la reunión de 90 minutos. No quieras o cuidado. Nuestros niños también me dijeron que eran miembros y no hay necesidad de un tiempo compartido. Pero nunca nos dieron el descuento porque no ir. (y reservamos nuestra habitación y todo separado de su reserva), así como los miembros que dieron penalizados por nosotros que no asisten. Y nos sentimos acosados cada mañana, vio venir a la piscina, nos llamaron en nuestra habitación por la que no vaya, y luego por la noche no los niños salir para la cena. - hasta que finalmente dijo tratarles mal en el segundo día. Todos ellos acosados, una chica estaba persiguiendo a la gente al ascensor que quieran escuchar su ellos - ellos diciéndole a ella ir lejos estaban en vacaciones - finalmente llegó.. ascensor dijo nunca tan mal como aquí. Nos preguntaron qué queríamos para nosotros para ir - me dijo internet gratis - - no había manera de que lo hacen. ¿Por qué me pregunta? La causa es de 60 dólares por el dispositivo! Por internet para la semana! Que es más de lo que pagarías en un mes. Y no importa donde nos hemos alojado - Islas incluso poco en una pequeña casa que hemos tenido internet gratis! (y yo era una de esas personas que tiene que trabajar durante las vacaciones). Así que al final nos costó 120$! Para internet - ridículo.- y el precio de la habitación era un montón de dinero para no tener internet gratis!!
Comida: Es realmente sólo 2 restaurantes (y dos al lado comparten) Odio id para estar allí en temporada alta para las comidas llena. Comimos fuera del complejo en su mayoría en la ciudad en la playa o cocinado en nuestra habitación, y ninguno de nosotros no tenía problemas estomacales nunca. La única vez que alguno de nosotros se enfermó fue el 2 veces comimos en el complejo. (el menú del bar de la piscina, los niños comieron en diario sin problemas) también era muy caro comer allí, comparado con la ciudad. Noches que no tenían una gran festival para comida, pero nunca fuimos. Llegamos a nuestro personal de limpieza en un día - y la una cosa que no me gusta es que la gente de tocar mis cosas! Soy una persona bastante limpio y ordenado, ¿por qué no hacer servicio a la habitación.. Bien la movió todo alrededor en nuestra habitación, baño - me muevo todo fuera el contador de los suyos y poner mis cosas en una toalla o en mi propia cosas (gérmenes) y ella puso todo y poner mis cosas en ellas, ¿por qué? Movía mis cordones ordenador en el escritorio y de distancia, y mis papeles para trabajar!, entonces la ropa está plegada que teníamos colgando o donde queríamos pone nuevo - no toque los pueblos pertenencias!
Pros: su personal de servicio eran muy educados, por las pocas veces que iban a hablar con usted. Ah, y el 12% de propina es poner automáticamente a sus cuentas para dar propinas! Los jardines están meticulosamente limpio, para lo que es un complejo muy pequeño. De nuevo, no quisiera estar allí en temporada alta. La piscina era bonita, pero de nuevo, no estaba lleno, así que nadie nunca cerca de nosotros. La gente de animación era muy amable y hablaba con nosotros a menudo o jugaba con nuestra nieta. En general, si no fuera por la empresa fuimos con nos hubiera dejado este complejo a otro sitio. de las estrellas y un complejo de tiempo compartido, nos esperábamos más, especialmente para lo que pagamos por una semana - no incluido (lo que pagará por dos semanas de vacaciones con un apartamento de alquiler) nuestro hijo en las leyes de los padres tratar con el tiempo compartido sobre cómo los niños eran tratados como no estaban impresionados.",2
"Subir el cerro es en sí un desafío si decidimos hacerlo caminando y si de tiempo se dispone es un excelente paseo, se requiere estar en forma pero cualquier persona puede subirlo en mayor o menor tiempo. Durante todo el recorrido se goza de un contacto vivo con la naturaleza y una excelente vista de la ciudad. Una vez arriba se puede caminar, entrar a la iglesia, comprar artesanías en el pasaje comercial y degustar de exquisitas comidas típicas en la plaza de alimentos. Si gustan también pueden comer muy rico en dos restaurantes de manteles que hay en la cima del cerro. La bajada si obligada en el teleférico muy linda vista y una forma rápida de bajar. Para los turistas una linda alternativa para hacer plan en Bogotá. De bajada del cerro la visita a la Candelaria y la quinta Simón Bolívar. ",3
"Es mi preferido.  Buen trato y comida deliciosa.  Cocina local criolla y contemporánea.

tratándose de un paladar los precios son mas bien casi europeos pero compensados por la calidad de la comida.",5
"Las habitaciones son grandes y buen lugar para descansar, sitio suficiente para sentirse bien en la piscina, el desayuno muy bueno para emprender el día, esta bien comunicado con el centro, el precio un poco excesivo para las comodidades que tienen.",4
"La atención de todos los empleados del hotel  y el servicio es excelente hasta antes del momento de la salida, ya que cuando se termina la hora de salida se restringe todo para el visitante, donde deberia de ser diferente la hora de salida porque uno debe esperar a tener programado el vuelo de salida y no se puede consumir ni una gaseosa porque los precios son exagerados.",4
"La comida es bastante estándar, pero este es un buen lugar para un descanso y aperitivo, nada extravagante. Mucha madera oscura y objetos, y un bar de tapas hace más de un agujero para beber de un restaurante apropiado.",3
"El centro histórico es hermoso, con variedad de restaurantes, bares , cafés, ideales para compartir en pareja , en familia o con amigos ",4
"La comida lamentablemente esta muy tropicalizada para el visitante, no tiene sazón fuerte, se siente ligera, pedí un agua de chaya con limón que no sabia a nada. En precio es accesible y me gusta mucho el que las señoras estén haciendo tortillas en el...Más",3
"Este hotel ha tenido muchas críticas negativas y después de estar allí cuatro días ya sé por qué. Las habitaciones están sucias, hay a menudo poco o nada de agua caliente, y no hay las salve por el hotel, excepto los desayunos tipo buffet, donde están bien. La ubicación en la ""Vieja Habana"" es excelente, pero el hotel es quizás el peor lugar mi esposa y yo nos hemos alojado.",1
"Seria la hora o el ambiente, fue agradable la estancia, y a reserva de sus jardines, se me hizo un sitio común.",3
"Es el lugar que no podes dejar de visitar si vas a la Havana. Es un local donde se une la historia, la musica y un buen trago  .",3
"estas maravillas que nos brinda muestra medre naturaleza, es unica. asi que hay que aprovecharla al maximo... y lo primordial es sentirse relajado y contento de estar en contacto con la naturaleza, y disfrutar culturas y tradiciones...",4
"Algunos botones/guardias son altamente discriminatorios. En cada salida y entrada al hotel nos pedían que dejáramos revisar nuestras mochilas. En una de nuestras últimas noches, siendo nosotros tres huéspedes, a uno no lo dejaban accesar porque para ellos no tenían registro de que ya estaba hospedado, una vez intervine solo brindaron un ""usted disculpe...""",1
"El ambiente es genial. El recorrido no es un gran problema ya que su tipo de en el pasaje. El servicio es espectacular y me dieron mi comida bastante rápido. Las bebidas tienen un precio razonable (3-4 CUC) y las entradas van desde 20 $....aperitivos estaban bien de precio también.

Me dieron el pollo en un curry y fue espectacular. Tenía una pizca de comida india y era cocinado perfecto. sugieren un plato de acompañamiento y fui con arroz.

Como otros han dicho, te dan una inyección de 15 años ron con un puro como salir. Bastante guay.Más",5
"Malo, caro y practicamente casi no hay nada, un desastre de experiencia. Desinformado y sesgado totalmente.",1
"Lo bueno: muy lipio, muy bonit, buena ubicacion. Lo malo: muy ruidoso, se esuchan todos los de pasillo y restaurant, es mu chiquo no hay areas comunes donde se pueda esta,el personal muy atento pero olvidaiso, les faltan detalles de atencion.",3
"En general el servicio bueno, limpio, almohadas riquisimas en ubicación excelente, pero dejé olvidados unos zapatos y no me dan respuesta, al parecer no los encontraron, lo cual es imposible. Ojalá gane la honradez y los recupere. Son unos simples zapatos (crocs)  pero debieron llevarlos a objetos olvidados. Sigo en espera de la respuesta de la ama de llaves. Espero muy pronto decirles que trabaja gente muy honrada en ese lugar y mi opinión seguramente será Excelente.",3
"Pero la verdad la atención está de mal, en especial los Pool concierge todo lo arreglan regalando tragos, es un hermoso lugar, y muy bello, pero también el check out y el check in son muy tardados, de los cuartos, no me quejo, tampoco del gym o los restaurantes, pero si hay muchos detalles que pulir, hay secciones cerradas, por las cuales no se puede pasar, que muchas veces el personal te pierde más de lo que te pueden orientar, En lo personal solamente yo creo que hace falta capacitación, o más personal",3
Es una zona para caminar y deleitarse con su arquitectura museos y la gran Librería del Fondo de Cultura de Mejico donde además se realizan exposiciones artísticas y presentaciones de grandes autores.,4
"Este hotel lleno de historia, es donde Fidel Castro se alojo durante la revolución. Esta muy bien situado, y las vistas de la ciudad son muy buenas. las habitaciones son muy espaciosas.  Eso si, no refleja las cinco estrellas que tiene. Las instalaciones estan muy muy viejas, les falta mantenimiento y la limpieza es deficiente.  El otro hotel histórico, el Nacional, que se ve desde las ventanas de este, y que es el símbolo del capitalismo, tiene las misams estrellas y está muchisimo mejor conservado. Solo wifi en recepción y de pago (3€ la hora).  La comida del restaurante es correcta. Gran piscina, pero también con poca limpieza en la zona de hamacas.",3
"Tuvimos una experiencia no demasiado aquí. La comida era buena, pero el servicio era terrible. La camarera trajo bebidas e intentó cobrar por ellos cuando cortésmente dijo que no queríamos o ordenar. Pedimos virgen piña colada porque era medio día y no queríamos alcohol -...el personal trajo una enorme jarra de ron y intentaron cobrarnos. La comida era extremadamente caro y es una trampa para turistas. Sin duda evitar este lugar.Más",2
"Fui con mis papás en marzo de 2012, luego de haber estado una semana en Varadero y al llegar aquí no nos sentimos tan cómodos. La atención es más distante. El hotel es muy grande y está muy bien ubicado. Las habitaciones son muy amplias y cómodas, y tienen vistas increíbles. En el pasillo del piso había olor feo, no sé si habrá sido por algo en particular de ese momento.",3
"Me llevó porque le pagais una comida, es intolerable en los tiempos de hoy . No lo recomendaré a nadie",1
"Este fue recomendado por nuestro guía y nos resultó ser otro sitio de comedor cerca. Tienes que hacer una reserva, no se dan en el mismo día.
Es uno de los pocos restaurantes en la zona que no tenga una (muy persistentes) ambulantes en la...esquina, a pesar de que hay un flujo constante de gente haciendo fila para entrar o para reservar.
La comida es buena, pero las bebidas son incluso mejores. Recomiendo el mojito house que parece un verde, pero los gustos slushy que mejor que el estándar de hecho en otro mojito.Más",4
"Despues de ver uxmal, encontrarte con estas ruinas pequeñas y olvidadas es muy triste y sobre todo sin guias que te expliquen todo lo que paso ahi.",3
"Nos encanto el hotel, frente a la playa, muy buen servicio.  La habitacion limpia y el desayuno variado, los jugos naturales buen detalle, recomendado para vacaciones familiares o escape romantico.  Volveria seguro.",5
"¡Qué vergüenza ... Me imagino que este hotel fue en un tiempo un gran lugar para alojarse, pero ahora es simplemente terrible. El personal en general son desagradable hasta el punto de ser descortés con la excepción de una pequeña minoría. Las habitaciones son espantosas, la habitación que nos dieron en la 3ª planta estaba sucia, la caja fuerte no funcionaba, nos cambiaron a otra habitación en el mismo piso, que era igualmente sucias, tenía elevándose húmeda, la puerta del baño no cerraba y el interruptor de la luz no apagar. Finalmente nos ofrecieron una selección de 3 nuevas habitaciones y decidido en la habitación 215 en el segundo piso ya que todas las habitaciones de la tercera planta estaban húmedas. La escalera estaba sucia, el restaurante ofrece un penoso despliegue de…",2
"Hoteles Misión te garantizan el mismo confort, al menos a la alza y no a la baja, en cualquier de sus establecimientos. Lamento compartir que mi experiencia en este hotel fue terrible, al llega a mi habitación me encontré con un aire acondicionado que hacie un ruido terrible, y era aguantar el calor o el ruido, los muebles estaban llenos de polvo y pelo, literalmente había pelo en la mesa de noche y en el lavabo, que ademas se encontraba roto y descuidado, la regadera estaba sucia, había una rendija pegada en la pared que daba a las tuberías, y lo se por que esta rendija estaba rota, lo peor es que no tuve agua caliente durante mi estancia. El Internet es libre hasta cierto punto, si quieres usa tu canal de netflix, o cualquier otro similar TIENES QUE PAGAR UN EXTRA para que te_x0085_",1
Llegamos con expectativas y era incluso mejor que imaginar. Toda la catedral es una obra de arte.,5
"Por estos días visite la mayor cantidad de templos en mi vida y esta capilla en particular es la viva muestra del Barroco, me impresionó indudablemente. En resumen es IMPRESIONANTE.",5
"Acudimos un sábado 2 de julio a las 11:15 de la mañana. Estuvimos esperando más de media hora nosotros dos y otro grupo de cuatro personas fuera, porque la camarera estaba dentro. Nos vio como estábamos esperando y no fue capaz de salir a atendernos...o dar alguna explicación si el bar estaba abierto o cerrado.

Nos tuvimos que marcharMás",1
"El edificio se encuentra en perfecto estado, es una muestra típica de la arquitectura de su época, que no se les olvide la cámara",4
"Mi familia y yo hicimos reservar 2 suites en Navidad que llegan a las 2 fechas diferentes (sin embargo pagar por una estancia de una semana completa) pidiendo específicamente para un piso superior frente a los mares! Mi familia estaba en el complejo algunos meses antes con la misma petición, pero por la reserva temas empujaron a una pequeña unidad en su categoría más baja.

La llegada hasta el complejo estaba bien, el botones y aparcamiento sección junto a la limpieza y el personal super mercado destaque de lejos, Super mercado siendo el mejor y probar su capacidad de más a hacer la diferencia con la actitud y el servicio que proporcionan.

El registro no ir bien y básicamente creado una mente negativo para empezar, la chica que hizo el registro para asegurarse que estaba intentando hacer lo mejor posible, sin embargo un aprendiz debe ser supervisado de manera que le ayuda a hacer frente a situaciones difíciles.

Éramos los únicos 2 personas en el momento de registrarse (más tarde por la noche) preguntó tres veces sus facultades que estaban ocupados hablando de cada uno y uno trabajando en su iPhone. Vino dos veces, ayudó a ella un minuto y volvimos a proseguir su interesante conversación que dejó.

Para resumir, se tomó la hora de cerca de una hora, la chica casi la izquierda por ella mientras que sus facultades de lo que sea que hicieron. Para ser justos, ella no le dio la mejor, pero debido a que faltaban datos incorrectos informations y ella tenía un duro tiempo y no nos dieron las habitaciones que hemos reservado por teléfono!

Lo más decepcionante departamento F&B, el servicio-, una selección, autenticidad y calidad era (teniendo en cuenta que es un hotel de lujo con una alta calidad precio rango) deja bastante algunos deseos en la mesa!

Si te ofrecen un restaurante asiático se centró, marca no debería ser simplemente se refleja en la decoración y los uniformes de los empleados outlet, que también debe reflejarse en los platos que salen
de la cocina! Utilizamos 3 diferentes restaurantes durante nuestra estancia y autenticidad de comida que se sirve es realmente no es un punto fuerte!

F&B mejor selección tanto en calidad y una excelente relación calidad-precio es el supermercado!

Asegúrate de que comprueba junto a su llegada en la habitación que todos los elementos de la cocina son en realidad en orden y en su lugar, si los artículos se están perdiendo lo más probable es que siendo pide pagar tales!

El agua que se ofrece en su habitación y baño de huéspedes no es gratis, lo mismo sucede con algunas de las instalaciones situadas en su bañera, si quieres sal adicional de baño hay un precio, si va a utilizar el café
que pagar más por la pequeña bolsa en la habitación la una fresca en el Super mercado salón!

En general me hacer sentir la gestión de precios y te cobran por todo es lucking la idea de un resort de lujo, pero bueno, es lo que es. Te sentirás precios son, en efecto, en el extremo superior.

No tienes que comprar el acceso a Internet de alta velocidad adicional que está en oferta, el acceso gratuito a Internet que se ofrece funciona muy bien. He estado en línea cada día necesaria para usar skype y Zoom aplicación y daba poco a problemas!

Finalmente hicimos conseguir una habitación con vistas al mar, pero no en la planta alta, como habíamos pedido!

Las habitaciones ofrecen todo lo que necesita, con un bonito balcón, incluyendo cocina, un aire acondicionado y en nuestro caso con un pequeño lujosa piscina Flat TV! Pagando un extra por la piscina es que no merece la pena en los meses más fríos del agua es muy fría!

Las áreas de jardín y las instalaciones son tal y como se ha mencionado en mayo comentarios están muy bien cuidadas y el servicio de transporte funciona bien! El spa está bien sin embargo les vendría bien un poco polaco en términos de actitud de servicio, la bienvenida amable de estilo de vida está perdiendo, sí, el servicio es bueno y el masaje era bueno, pero el extra para que muchos spas en México son conocidos por no está allí! Es de hacer el trabajo.

Uso de la hora de la salida antes del día en términos de pagar la factura, en nuestro caso se tardó bastante tiempo (45 minutos) para conseguir la factura se establecieron debido a algunos cargos y otras ningún problema-ups incorrecto! Estás en realidad pidió que, el día antes!

En general:

Una estupenda infraestructura, buenas ideas innovadoras (el identificador banda clave de código de ejemplo que se utilizan como llave de la habitación, opción de pago y seguridad ID) es una gran herramienta. Jardín y las áreas de playa están bien mantenidos y algunos servicios: botones, zona de aparcamiento y Super mercado son, en efecto, excelente en la actitud y el servicio brindar (todas las formas con una sonrisa)! El espectáculo diario que se ofreció durante nuestra estancia fue excepcional!

Acceso gratuito a Internet en la habitación es excelente, no estoy seguro cómo está en frente de la playa, nunca utilizada en cualquiera de estas zonas.

Departamento de más débiles en términos de servicio y calidad del producto/originalidad es por lejos F&B. El único producto que se levantó en lo que respecta a la comida se encuentran en el mercado. empujando la carga abajo) en todo momento en mi punto de vista no es el más atento de todas las opciones no especialmente cuando se trata de artículos que son globalmente de servicios gratis!

La zona en la que yo me siento algunas pequeñas mejoras lograrían, es la reserva y la comunicación entre tales y el hotel, no hay punto en efectuar solicitudes específicas si tales no se remiten al resort!

Supervisión sería la segunda zona de preocupación y podrían eliminar bastante algunos temas que debe abonarse aparecer sin razón, yo personalmente tienen un problema cuando mis empleados utilizan su teléfono móvil en sus áreas de trabajo, simplemente agrega de las tasas obligaría cuando frente a situaciones difíciles.

Si yo era parte del equipo superior de gestión que se centrarían en acción concreta de formación como actitud inteligencia emocional para mejorar la pereormcane de empleados en términos! No es acerca de los conocimientos o aptitudes, es sobre el impacto del comportamiento en los huéspedes, experiencia y satisfacción!

Un complejo turístico de lujo necesita entregar experiencia Resort de Lujo en todas las zonas.",3
"Por sugerencia de una agente de viajes nos alojamos allí. Es como ingresar en la historia cubana. Desde sus jardines y sus cañones apuntando al mar, símbolo de la defensa cubana, el humilde y emocionante testimonio del conflicto latente EEUU -Cuba-URSS de los 60 en un pequeño museo fotográfico en los bajos de los jardines, hasta la refinación de sus salones y galería, todo es apasionante. Estar alojado allí, solo una anécdota. Es como alojarse en un tunel del tiempo histórico.   El espectáculo del Parisien del hotel, tan cercano al público, es otra vez como estar en el escenario.  Fascinante hotel. Volveré allí en cuanto pueda.",4
En febrero fui por temas de trabajo a Puebla y nos hospedamos en el Grand Fiesta Americana. La habitación súper bonita y elegante. La atención siempre de primera y los restaurantes muy ricos. Me gustó que las porciones son “normales” no descomunales ni tan poquitas como para quedarte con hambre. Las instalaciones muy bonitas y en general me sentí muy cómoda.,5
"La pirámide es impresionante, y cuando vas conociendo la historia  que te cuentan los guías admiras la cultura maya cada vez mas.",4
"Un lugar con historia colombiana y acontecimientos importantes en los últimos siglos, la entrada es gratuita, cuenta con espacios amplios, un hermoso jardín central en la casona del siglo XVIX",5
"Si no estás habituado a vivir en estas alturas, te faltará el aliento al moverte en sus escaleras tras dejar el teleférico. Pero como visita es interesante. Hazlo con sol.",4
"Hice una visita corta pero nocturna, porque había tantas cosas que observar frente a la catedral con su nombre Único y muy alta; la acompaña la emblemática plaza. En ese lugar hay wifi  gratis para reposar.",4
"Normalmente se debe hacer una fila de 30 minutos, la entrada no da el mejor aspecto, pero al llegar al sitio cambia completamente la presentación, la comida es buena, y buena la porción, en la isla no encontramos mucha ofertar, así que vale la pena...Más",4
Acudimos a la ciudad de Monterrey por un evento familiar. El hotel es céntrico si quieres caminar en la Macroplaza o dar un paseo por Santa Lucía. Las habitaciones son amplias y modernas con un toque minimalista muy agradable. Nos tocó la habitación 815 y la vista hacia la ciudad de día y de noche fue increíble. Algunos detalles que nos hace colocar 3 estrellas en la puntuación son:  1. La mala atención en recepción (son poco amables y pocos los empleados que muestran cortesía)  2. La alberca tiene mucho cloro (imposible estar ahí más de 10 minutos)  3. Cortaron el servicio de luz más de una vez y tararon más de 3 horas en atender nuestro reclamo,3
